S.No,item,itemLabel
1,http://www.wikidata.org/entity/Q55130407,Hemendra Prasad Ghosh
2,http://www.wikidata.org/entity/Q97446117,Parmod Malik
3,http://www.wikidata.org/entity/Q57400754,Subbarao Kambhampati
4,http://www.wikidata.org/entity/Q68898907,Dr. CS Ramachandra
5,http://www.wikidata.org/entity/Q68898962,Dr. HM Chennayya
6,http://www.wikidata.org/entity/Q59247899,Buta Singh Brar
7,http://www.wikidata.org/entity/Q80658601,Abu Zafar Nadvi
8,http://www.wikidata.org/entity/Q94108248,Kuruvila Zachariah
9,http://www.wikidata.org/entity/Q12976706,Q12976706
10,http://www.wikidata.org/entity/Q68898800,UK Subbaraya Achar
11,http://www.wikidata.org/entity/Q20605015,Q20605015
12,http://www.wikidata.org/entity/Q112625248,Phanindra Chandra Dutta
13,http://www.wikidata.org/entity/Q84066265,Rishikesh Upadhyay
14,http://www.wikidata.org/entity/Q16133657,Ajit Krishna Basu
15,http://www.wikidata.org/entity/Q20607497,Jaswinder Singh
16,http://www.wikidata.org/entity/Q95692059,Khialdas Fani
17,http://www.wikidata.org/entity/Q31787487,Surjit Singh
18,http://www.wikidata.org/entity/Q31786894,Rajinder Pal Singh
19,http://www.wikidata.org/entity/Q85967223,Pranabjyoti Deka
20,http://www.wikidata.org/entity/Q472352,Amit Chaudhuri
21,http://www.wikidata.org/entity/Q106610906,C.T. Aravindakumar
22,http://www.wikidata.org/entity/Q106974243,Srikanth Sundararajan
23,http://www.wikidata.org/entity/Q13056813,Atul Chandra Gupta
24,http://www.wikidata.org/entity/Q13060211,Harisadhan Chattopadhyay
25,http://www.wikidata.org/entity/Q3351367,Amiya Chakravarty
26,http://www.wikidata.org/entity/Q15725463,Ajit Kumar Dutta
27,http://www.wikidata.org/entity/Q102215721,Prof. Sisir Kumar Sarkar
28,http://www.wikidata.org/entity/Q7072071,O.P. Dwivedi
29,http://www.wikidata.org/entity/Q7427196,Saugata Roy
30,http://www.wikidata.org/entity/Q20608238,Nirmal Jaura
31,http://www.wikidata.org/entity/Q325741,Homi K. Bhabha
32,http://www.wikidata.org/entity/Q61064223,Q61064223
33,http://www.wikidata.org/entity/Q12976047,K. Nedunchezhiyan
34,http://www.wikidata.org/entity/Q12980781,Ci. Pālacuppiramaṇiyan̲
35,http://www.wikidata.org/entity/Q12980768,Salai Elanthiraiyan
36,http://www.wikidata.org/entity/Q13057149,Ashutosh Bhattacharya
37,http://www.wikidata.org/entity/Q13116786,Gangadhar Pantawane
38,http://www.wikidata.org/entity/Q24284445,Mangharam Udharam Malkani
39,http://www.wikidata.org/entity/Q25586973,Bidhu Shekhar Bhattacharya
40,http://www.wikidata.org/entity/Q15459580,Rustum Roy
41,http://www.wikidata.org/entity/Q111032406,Raman Unnikrishnan
42,http://www.wikidata.org/entity/Q16346754,Shrikumar Bandyopadhyay
43,http://www.wikidata.org/entity/Q20606660,Gurbakhsh Singh Frank
44,http://www.wikidata.org/entity/Q7646413,Surjit Patar
45,http://www.wikidata.org/entity/Q31321226,Umaprasad Mukhopadhyay
46,http://www.wikidata.org/entity/Q1165649,Darashaw Nosherwan Wadia
47,http://www.wikidata.org/entity/Q4747055,Amlan Datta
48,http://www.wikidata.org/entity/Q117244129,Shamseer Ibrahim
49,http://www.wikidata.org/entity/Q117405598,S. A. Vengada Subburaya Nayagar
50,http://www.wikidata.org/entity/Q3116411,Jibanananda Das
51,http://www.wikidata.org/entity/Q3351108,Kuvempu
52,http://www.wikidata.org/entity/Q4116911,Mohammad Akram Nadwi
53,http://www.wikidata.org/entity/Q4358527,Conjeevaram Srirangachari Seshadri
54,http://www.wikidata.org/entity/Q4734293,Alok Bhargava
55,http://www.wikidata.org/entity/Q118913759,s. Neelakandan
56,http://www.wikidata.org/entity/Q119411054,Asitkumar Bandyopadhyay
57,http://www.wikidata.org/entity/Q119000290,Amulyadhan Mukhopadhyay
58,http://www.wikidata.org/entity/Q6381082,Kazi Abdul Wadud
59,http://www.wikidata.org/entity/Q6727256,Madhav Gadgil
60,http://www.wikidata.org/entity/Q6894224,Mohitlal Majumdar
61,http://www.wikidata.org/entity/Q7420421,Santidev Ghosh
62,http://www.wikidata.org/entity/Q56641695,Gurmukh Singh
63,http://www.wikidata.org/entity/Q29044399,Abdul Azeez Madani
64,http://www.wikidata.org/entity/Q122654933,Kafeel Ahmad Qasmi
65,http://www.wikidata.org/entity/Q24013787,Kalyan Bulchand Advani
66,http://www.wikidata.org/entity/Q124169486,Atisukhshankar Trivedi
67,http://www.wikidata.org/entity/Q56641646,Kulvir Gojra
68,http://www.wikidata.org/entity/Q4907313,Bikas Kanta Chakrabarti
69,http://www.wikidata.org/entity/Q124285248,K. V. Rao
70,http://www.wikidata.org/entity/Q124301514,Rakesh Desai
71,http://www.wikidata.org/entity/Q124353801,Ramesh L. Chakrasali
72,http://www.wikidata.org/entity/Q124434915,Goddu Karegowda Veeresh
73,http://www.wikidata.org/entity/Q27178667,Khudiram Das
74,http://www.wikidata.org/entity/Q18987251,Amitabha Dasgupta
75,http://www.wikidata.org/entity/Q84308943,Biswanath Dutta
76,http://www.wikidata.org/entity/Q20607438,Dr. Kesar Singh
77,http://www.wikidata.org/entity/Q42637750,Surendranath Sen
78,http://www.wikidata.org/entity/Q54554391,Subodh Chandra Mahalanobis
79,http://www.wikidata.org/entity/Q24952533,K. K. Abid Hussain Thangal
80,http://www.wikidata.org/entity/Q90038759,Indraneel Mittra
81,http://www.wikidata.org/entity/Q59627963,Dhirendra Mohan Datta
82,http://www.wikidata.org/entity/Q49465291,Dinesh Chandra Bhattacharya
83,http://www.wikidata.org/entity/Q29906118,Sriram Chandra Dash
84,http://www.wikidata.org/entity/Q50695489,Arun Mehta
85,http://www.wikidata.org/entity/Q20481315,Ram Panjwani
86,http://www.wikidata.org/entity/Q47004171,Ajoy Kumar Ray
87,http://www.wikidata.org/entity/Q68484731,Dr Aravinda Malagatti
88,http://www.wikidata.org/entity/Q68898509,K Kempe Gowda
89,http://www.wikidata.org/entity/Q68898697,S Lakshmi Narayana Arora
90,http://www.wikidata.org/entity/Q31785365,Gurpal Singh Sandhu
91,http://www.wikidata.org/entity/Q118590781,Q118590781
92,http://www.wikidata.org/entity/Q54620382,Anil Baran Roy
93,http://www.wikidata.org/entity/Q25623492,Prem Prakash Singh Dhaliwal
94,http://www.wikidata.org/entity/Q57002458,Arun K Shukla
95,http://www.wikidata.org/entity/Q68898750,ta su shyaamaraaya
96,http://www.wikidata.org/entity/Q81291303,Thamizhpparithi Maari
97,http://www.wikidata.org/entity/Q46071989,Pabitra Sarkar
98,http://www.wikidata.org/entity/Q68898562,NM Talawar
99,http://www.wikidata.org/entity/Q68898611,P Malliakrjunappa
100,http://www.wikidata.org/entity/Q231690,Bhimrao Ramji Ambedkar
101,http://www.wikidata.org/entity/Q105482402,Ishwarlal R. Dave
102,http://www.wikidata.org/entity/Q4352958,Sugata Mitra
103,http://www.wikidata.org/entity/Q4811997,Aswath Damodaran
104,http://www.wikidata.org/entity/Q7156113,Pawan Sinha
105,http://www.wikidata.org/entity/Q7920046,Venkat Rangan
106,http://www.wikidata.org/entity/Q981489,C. K. Prahalad
107,http://www.wikidata.org/entity/Q12980941,Suba Veerapandian
108,http://www.wikidata.org/entity/Q4665603,Abdul Qavi Desnavi
109,http://www.wikidata.org/entity/Q16866511,Kalidas Nag
110,http://www.wikidata.org/entity/Q56599365,Ashok b raha
111,http://www.wikidata.org/entity/Q192207,Aurobindo Ghosh
112,http://www.wikidata.org/entity/Q19811901,Mohan Apte
113,http://www.wikidata.org/entity/Q725669,Prabodh Chandra Bagchi
114,http://www.wikidata.org/entity/Q817311,Benimadhab Barua
